candidate_id,kepid,y,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_snr,local_half_window
K06354.01,3746248,0,FALSE POSITIVE,0.62240698,131.68393,1.186,155.8,,0.25
K04569.01,6065351,0,FALSE POSITIVE,14.1166583,136.3632,9.12,449.3,,0.10767421126365662
K06935.01,7943535,0,FALSE POSITIVE,4.719336335,133.514832,2.83787,12367.1,,0.10022136569023132
K02693.01,5185897,1,CONFIRMED,4.081411554,133.85992,2.3239,171.9,,0.09489772468805313
K03964.01,9957351,0,FALSE POSITIVE,0.991105114,131.893383,2.2137,286389.0,,0.25
K04883.01,6802536,0,FALSE POSITIVE,2.9788702,133.5035183,9.3,,,0.25
K00242.01,3642741,0,FALSE POSITIVE,7.258450123,138.344691,5.7297,3714.7,,0.13156390190124512
K02645.01,11303815,0,FALSE POSITIVE,1.705782214,133.15607,1.007,278.0,,0.09839083254337311
K07747.01,5887316,0,FALSE POSITIVE,0.603086711,131.664075,1.0869,1242.8,,0.25
K00713.01,9640985,0,FALSE POSITIVE,2.178150567,171.232233,3.5065,511.3,,0.25
K01953.01,8652999,0,FALSE POSITIVE,15.160166,136.55982,5.856,307.9,,0.0643792450428009
K00646.01,5384802,0,FALSE POSITIVE,3.041547148,170.4878722,3.22798,20690.7,,0.1768825650215149
K00243.01,9592579,0,FALSE POSITIVE,2.637574744,134.212775,5.4573,5423.5,,0.25
K02259.01,8126558,1,CONFIRMED,12.19140405,136.33677,1.8832,665.8,,0.025744915008544922
K07122.01,9007918,0,FALSE POSITIVE,1.387206724,132.8469146,3.82527,151432.0,,0.25
K07560.01,5598645,0,FALSE POSITIVE,0.648772102,131.74503,2.614,31.1,,0.25
K06083.01,10935310,0,FALSE POSITIVE,4.128795314,132.5796644,2.771,154870.0,,0.11185667663812637
K07444.01,11409698,0,FALSE POSITIVE,10.26782676,139.1769796,6.02685,247175.0,,0.09782741963863373
K04444.01,11718389,1,CONFIRMED,5.94373492,135.25897,1.847,301.0,,0.0517912283539772
K04340.01,6528141,0,FALSE POSITIVE,2.022658,131.838,3.343,135.7,,0.25
K02859.02,10397751,1,CONFIRMED,2.005414293,133.24526,1.934,59.5,,0.16073153913021088
K00248.03,5364071,1,CONFIRMED,2.576571021,172.126911,1.5997,852.8,,0.10347732156515121
K00952.03,9787239,1,CONFIRMED,22.78078241,155.20408,3.3002,1925.1,,0.024144619703292847
K02156.01,2556650,1,CONFIRMED,2.852348262,132.044534,0.7051,1402.9,,0.04119997099041939
K04543.01,9776186,0,FALSE POSITIVE,1.48922187,132.3722,1.882,613.6,,0.21062453091144562
K03818.01,6515722,0,FALSE POSITIVE,1.908525084,131.77571,4.169,218.9,,0.25
K04032.02,7100673,1,CONFIRMED,2.89223998,132.86232,2.521,44.3,,0.14527378976345062
K00420.01,8352537,1,CONFIRMED,6.010383339,174.084883,2.1939,2652.1,,0.06083638593554497
K03425.02,9117416,1,CONFIRMED,3.15722086,131.69915,3.762,49.7,,0.1985923796892166
K02716.02,9092504,1,CONFIRMED,6.46004728,135.96779,1.979,394.2,,0.05105741694569588
