model,evidence,run_id,seed,best_epoch,threshold,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_roc_auc,val_false_positives,val_false_negatives,test_accuracy,test_precision,test_recall,test_f1,test_pr_auc,test_roc_auc,test_false_positives,test_false_negatives,train_accuracy,train_f1,train_pr_auc,train_roc_auc
HGB scalar,individual run,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_hgb_scalar_20260906_002307,42.0,,0.4499999999999999,0.7990430622009569,0.6934306569343066,0.8715596330275229,0.7723577235772358,0.8282653489534336,0.8867359997116131,126,42,0.7997587454764777,0.6728723404255319,0.8547297297297297,0.7529761904761905,0.7781798970732767,0.877212108919426,123,43,0.881650661821957,0.8636363636363636,0.942687298465277,0.9656165988442839
HGB full,individual run,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_hgb_full_20260906_002402,42.0,,0.595,0.9043062200956937,0.8708708708708709,0.8868501529051988,0.8787878787878788,0.9482780840583701,0.9653635178409425,43,37,0.893848009650181,0.8209876543209876,0.8986486486486487,0.8580645161290322,0.9224788033261397,0.9597953957710055,58,30,0.9927329353750325,0.9906914893617021,0.9990361152251824,0.9993876176515533
CNN baseline,individual run,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_002501,42.0,35.0,0.83,0.9066985645933014,0.878419452887538,0.8837920489296636,0.8810975609756098,0.9435165717514431,0.9645764616114826,40,38,0.9095295536791315,0.8576051779935275,0.8952702702702703,0.8760330578512396,0.9226096219824591,0.9605306526038233,44,31,0.926031663638723,0.904330312185297,0.965013552436065,0.9785502045990933
CNN wide branch,individual run,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_002732,42.0,29.0,0.12,0.8516746411483254,0.7942028985507247,0.8379204892966361,0.8154761904761905,0.8726276279209709,0.9109905493171837,71,53,0.8262967430639324,0.7248520710059172,0.8277027027027027,0.7728706624605678,0.8013771076562937,0.8924560113584505,93,51,0.9846872566831041,0.9807000327118089,0.9981877197627017,0.9982392592550668
CNN regularized,individual run,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_002902,42.0,27.0,0.9199999999999999,0.90311004784689,0.8867924528301887,0.8623853211009175,0.8744186046511628,0.9321122848916461,0.9610857771128856,36,45,0.9059107358262968,0.8758620689655172,0.8581081081081081,0.8668941979522184,0.9137994485766289,0.9567529537041732,36,42,0.9148715286789515,0.8877481177275839,0.9589083917271375,0.9745244415265413
CNN + HGB blend,individual run,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_stack_blend_20260906_003122,,,0.5099999999999999,0.916267942583732,0.852054794520548,0.9510703363914373,0.8988439306358381,0.9584070956184778,0.973570531653479,54,16,0.9034981905910736,0.8121387283236994,0.9493243243243243,0.8753894080996885,0.9430965547612564,0.9700763145885097,65,15,,,,
CNN v0,five matched seeds,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003140,42.0,34.0,0.8699999999999999,0.9019138755980861,0.8678678678678678,0.8837920489296636,0.8757575757575757,0.9411797041582397,0.9619869865359312,44,38,0.9047044632086851,0.8511326860841424,0.8885135135135135,0.8694214876033057,0.9272086990811885,0.962146949951828,46,33,0.922138593303919,0.8994638069705094,0.9632163177000245,0.9774493879006381
CNN v0,five matched seeds,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003333,43.0,17.0,0.8749999999999999,0.8971291866028708,0.8337950138504155,0.9204892966360856,0.875,0.9283670100168974,0.9555283190041035,60,26,0.8817852834740652,0.7828571428571428,0.9256756756756757,0.848297213622291,0.8994120913871411,0.9466241569900107,76,22,0.9089021541655853,0.887536046139058,0.9429523997333724,0.9649745029345679
CNN v0,five matched seeds,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003507,44.0,35.0,0.6799999999999999,0.8983253588516746,0.8134715025906736,0.9602446483180428,0.8807854137447405,0.9374476771654482,0.9631946071628125,72,13,0.8817852834740652,0.7734806629834254,0.9459459459459459,0.851063829787234,0.9077542812920305,0.955076441356929,82,16,0.921100441214638,0.9044025157232705,0.9596477724968255,0.9756702530463476
CNN v0,five matched seeds,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003728,45.0,19.0,0.8899999999999999,0.9007177033492823,0.8370165745856354,0.926605504587156,0.8795355587808418,0.9385865908239918,0.9644202519781547,59,24,0.8902291917973462,0.8115501519756839,0.902027027027027,0.8544,0.9052333598864142,0.9523794432331019,62,29,0.9185050609914353,0.8979193758127438,0.952520004246445,0.9714072059630873
CNN v0,five matched seeds,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_003858,46.0,41.0,0.72,0.90311004784689,0.8596491228070176,0.8990825688073395,0.8789237668161435,0.9425249631619512,0.9643361390986704,48,33,0.9047044632086851,0.8297872340425532,0.9222972972972973,0.8736,0.9299181900231538,0.9626096546828254,56,23,0.9338178043083312,0.9170191994793362,0.9710002031589137,0.981713991408536
CNN v1 + metadata,five matched seeds,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_004213,42.0,57.0,0.8999999999999999,0.9569377990430622,0.9476923076923077,0.9418960244648318,0.9447852760736196,0.982489523159438,0.98916145467217,17,19,0.9336550060313631,0.9140893470790378,0.8986486486486487,0.9063032367972743,0.9596413425423291,0.9798628365701536,25,30,0.9810537243706203,0.975674775074975,0.9966640027118174,0.9979789118610877
CNN v1 + metadata,five matched seeds,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_004451,43.0,30.0,0.9299999999999999,0.9485645933014354,0.9226190476190477,0.9480122324159022,0.9351432880844646,0.9809195575908201,0.9881881484952807,26,17,0.9348612786489746,0.8954248366013072,0.9256756756756757,0.9102990033222591,0.9670034920146235,0.9826454033771106,32,22,0.9766415779911757,0.9700598802395209,0.9929068705706854,0.995637200246764
CNN v1 + metadata,five matched seeds,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_004705,44.0,29.0,0.8499999999999999,0.9497607655502392,0.9106628242074928,0.9663608562691132,0.9376854599406528,0.984539040714125,0.9903150027336686,31,11,0.9408926417370326,0.8871473354231975,0.956081081081081,0.9203252032520325,0.9557328826555872,0.9796283149941687,36,13,0.9769011160134959,0.9707525468287874,0.994461747493118,0.9967436766711755
CNN v1 + metadata,five matched seeds,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_004908,45.0,21.0,0.8699999999999999,0.9413875598086124,0.9088235294117647,0.944954128440367,0.9265367316341829,0.9754367673283753,0.9851660928966673,31,18,0.9360675512665863,0.8957654723127035,0.9290540540540541,0.912106135986733,0.9617661121885978,0.980236803407535,32,21,0.9639242148974825,0.9538052509139249,0.9844720969810937,0.9920441232235535
CNN v1 + metadata,five matched seeds,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_cnn_20260906_005043,46.0,11.0,0.4499999999999999,0.9294258373205742,0.8806818181818182,0.9480122324159022,0.9131075110456554,0.9647910104295974,0.9773676273559115,42,17,0.9179734620024126,0.8413173652694611,0.9493243243243243,0.8920634920634921,0.9585974026235556,0.9786521981643933,53,15,0.9475733194913055,0.9352564102564103,0.9741673440084344,0.9854216778823569
Transformer v0,five matched seeds,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_transformer_20260906_011459,42.0,38.0,0.725,0.8983253588516746,0.8306010928961749,0.9296636085626911,0.8773448773448773,0.9396157202297877,0.9619509381590093,62,23,0.8721351025331725,0.768361581920904,0.918918918918919,0.8369230769230769,0.8896933582013677,0.9441585112316819,82,24,0.905787697897742,0.88384,0.9494364184697426,0.9691709067446954
Transformer v0,five matched seeds,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_transformer_20260906_012744,43.0,57.0,0.635,0.9043062200956937,0.8328840970350404,0.944954128440367,0.8853868194842407,0.9494695289679662,0.9667273481011517,62,18,0.8757539203860072,0.7749287749287749,0.918918918918919,0.8408037094281299,0.8923303629809505,0.9482975001267684,79,24,0.9151310667012718,0.8966171356307303,0.9609443239016825,0.9761884009576257
Transformer v0,five matched seeds,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_transformer_20260906_014521,44.0,44.0,0.38999999999999996,0.8911483253588517,0.8189189189189189,0.926605504587156,0.8694404591104734,0.9277361563634369,0.9537319082208325,67,24,0.8636911942098915,0.7563025210084033,0.9121621621621622,0.8269525267993875,0.8696108394509183,0.9360453323867958,87,26,0.9029327796522191,0.880891719745223,0.9418860988681391,0.965348610820264
Transformer v0,five matched seeds,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_transformer_20260906_015937,45.0,45.0,0.7549999999999999,0.90311004784689,0.8416666666666667,0.926605504587156,0.8820960698689956,0.9339517986015206,0.9585503746027167,57,24,0.8745476477683957,0.7727272727272727,0.918918918918919,0.8395061728395061,0.8905627963504582,0.9437211601845747,80,24,0.9063067739423826,0.8841835097850498,0.9490553512191007,0.9685405547663384
Transformer v0,five matched seeds,dataset_kepler_v0_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_transformer_20260906_021359,46.0,55.0,0.4799999999999999,0.9043062200956937,0.8579710144927536,0.9051987767584098,0.8809523809523809,0.9374739756404589,0.9617166237090176,49,31,0.8841978287092883,0.7958579881656804,0.9087837837837838,0.8485804416403786,0.8873673455042395,0.9455656406875919,69,27,0.9094212302102258,0.8854611092878241,0.9558514322526576,0.9713026425260488
Transformer v1 + metadata,five matched seeds,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_transformer_20260906_023042,42.0,18.0,0.7449999999999999,0.9318181818181818,0.9166666666666666,0.908256880733945,0.9124423963133641,0.9724930061259607,0.9816513761467891,27,30,0.9191797346200241,0.8634920634920635,0.918918918918919,0.8903436988543372,0.9579026817230838,0.9760914760914762,43,24,0.9527640799377108,0.9397350993377483,0.9820784739506203,0.989846168648514
Transformer v1 + metadata,five matched seeds,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_transformer_20260906_023812,43.0,28.0,0.8949999999999999,0.9389952153110048,0.908284023668639,0.9388379204892966,0.9233082706766917,0.9749136970392609,0.9831714160403261,31,20,0.9324487334137516,0.8870967741935484,0.9290540540540541,0.9075907590759076,0.9599721647447362,0.9777806652806653,35,21,0.9615883726966,0.950960901259112,0.981025452936925,0.991887914787166
Transformer v1 + metadata,five matched seeds,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_transformer_20260906_024816,44.0,20.0,0.705,0.9294258373205742,0.8850574712643678,0.9418960244648318,0.9125925925925926,0.9723657292520295,0.9823182711198428,40,19,0.9191797346200241,0.8397626112759644,0.956081081081081,0.8941548183254344,0.9618960060836684,0.9786205060595305,54,13,0.960550220607319,0.9506172839506173,0.9837957912389294,0.9910596138934952
Transformer v1 + metadata,five matched seeds,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_transformer_20260906_025621,45.0,8.0,0.835,0.9342105263157895,0.8953488372093024,0.9418960244648318,0.9180327868852459,0.9654713204639586,0.9790859333225188,36,19,0.9143546441495778,0.8419452887537994,0.9358108108108109,0.8864,0.9643409522527181,0.9803255413011511,52,19,0.9392681027770569,0.9240752757949383,0.9710539451123734,0.9824095717285368
Transformer v1 + metadata,five matched seeds,dataset_kepler_v1_target10000_g200_l100_gw0.5_lwm4.0_bls1_seed42_transformer_20260906_030128,46.0,13.0,0.82,0.9330143540669856,0.9044776119402985,0.926605504587156,0.9154078549848943,0.9659076630072673,0.9782688367789574,32,24,0.9276236429433052,0.86875,0.9391891891891891,0.9025974025974026,0.9590434898131892,0.9794445007859641,42,18,0.9488710096029068,0.9353037766830871,0.9781573467552032,0.9873188180228313
