model,metric,label,mean,std,n
Transformer v0,accuracy,Accuracy,0.874065138721351,0.0073671563255017,5
Transformer v0,f1,F1,0.8385531855260957,0.0078062706330513,5
Transformer v0,pr_auc,Average precision,0.8859129404975867,0.0092866816093894,5
Transformer v0,roc_auc,ROC-AUC,0.9435576289234826,0.0045640139007598,5
Transformer v1,accuracy,Accuracy,0.9225572979493366,0.0073076628375686,5
Transformer v1,f1,F1,0.8962173357706164,0.0087348966917843,5
Transformer v1,pr_auc,Average precision,0.9606310589234792,0.0025378120103136,5
Transformer v1,roc_auc,ROC-AUC,0.9784525379037576,0.0016237588406804,5
CNN v0,accuracy,Accuracy,0.8926417370325692,0.011538677002237,5
CNN v0,f1,F1,0.8593565062025661,0.0113998284460379,5
CNN v0,pr_auc,Average precision,0.9139053243339856,0.0137521248029103,5
CNN v0,roc_auc,ROC-AUC,0.9557673292429392,0.0067651621256997,5
CNN v1,accuracy,Accuracy,0.9326899879372738,0.0086734272676706,5
CNN v1,f1,F1,0.9082194142843582,0.0103762587387845,5
CNN v1,pr_auc,Average precision,0.9605482464049389,0.0042121665168387,5
CNN v1,roc_auc,ROC-AUC,0.9802051113026724,0.0014847066197687,5
