split,metric,label,n,v0_mean,v0_std,v1_mean,v1_std,delta_mean,delta_std,improved_seeds
train,accuracy,Accuracy,5,0.9079159096807684,0.0046442079202571,0.9526083571243188,0.0091606260348444,0.0446924474435504,0.0092262025277091,5
train,f1,F1,5,0.8861986948897655,0.0060596274177389,0.9401384674051004,0.0112749028332744,0.0539397725153351,0.0108086827347481,5
train,pr_auc,Average precision,5,0.9514347249422646,0.007258971755881,0.9792222019988104,0.0050045494102491,0.0277874770565457,0.0092998708754041,5
train,roc_auc,ROC-AUC,5,0.9701102231629946,0.0040120205493032,0.9885044174161086,0.0038187095249676,0.0183941942531141,0.0047992829214922,5
val,accuracy,Accuracy,5,0.9002392344497607,0.0056486693555586,0.933492822966507,0.0035484203287539,0.0332535885167464,0.0036281700689241,5
val,f1,F1,5,0.8790441213521938,0.0060889946357061,0.9163567802905576,0.0045145372652161,0.0373126589383641,0.0035154536620897,5
val,pr_auc,Average precision,5,0.937649435960634,0.0079930797141148,0.9702302831776952,0.0042704561151072,0.0325808472170613,0.0073232028812505,5
val,roc_auc,ROC-AUC,5,0.9605354385585456,0.0047949735459994,0.9808991666816868,0.0021183274207268,0.0203637281231412,0.0049490550909619,5
test,accuracy,Accuracy,5,0.874065138721351,0.0073671563255017,0.9225572979493366,0.0073076628375686,0.0484921592279855,0.0074065531642985,5
test,f1,F1,5,0.8385531855260957,0.0078062706330513,0.8962173357706164,0.0087348966917843,0.0576641502445205,0.0089653892024676,5
test,pr_auc,Average precision,5,0.8859129404975867,0.0092866816093894,0.9606310589234792,0.0025378120103136,0.0747181184258923,0.010138749767391,5
test,roc_auc,ROC-AUC,5,0.9435576289234826,0.0045640139007598,0.9784525379037576,0.0016237588406804,0.0348949089802749,0.0050249676684691,5
